scenario	repetition	position	candidate	stage	target_qps	duration_ms	runner_exit	stage_invalid_reason	valid_pairs	complete_pairs	pair_valid	correct_on_time	scheduled	sent	received	correct_late	expected_negative_on_time	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	latency_sample_count	p50_us	p95_us	p99_us	effective_throughput_qps
w2	1	1	go	overload	1000	3000	1		2	3	false	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	67	113	171	1000
w2	1	1	go	recovery	200	3000	1	same-process recovery criteria failed	1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	88	198	248	200
w2	1	2	rust	official-w2-cold	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	54	129	171	200
w2	1	2	rust	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	77	165	211	200
w2	1	2	rust	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	88	154	225	400
w2	1	2	rust	near-saturation	800	3000	1		2	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	54	99	156	800
w2	1	2	rust	overload	1000	3000	1	sender shortfall or scheduled query not sent	2	3	false	2999	2999	2999	2999	0	0	0	0	0	0	1	2999	50	95	132	999.6666666666666
w2	1	2	rust	recovery	200	3000	1	same-process recovery criteria failed	1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	99	197	239	200
w2	2	1	rust	official-w2-cold	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	74	170	223	200
w2	2	1	rust	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	93	185	220	200
w2	2	1	rust	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	73	130	182	400
w2	2	1	rust	near-saturation	800	3000	1	sender shortfall or scheduled query not sent	2	3	false	2399	2399	2399	2399	0	0	0	0	0	0	1	2399	63	104	155	799.6666666666666
w2	2	1	rust	overload	1000	3000	1		2	3	true	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	52	98	138	1000
w2	2	1	rust	recovery	200	3000	1	same-process recovery criteria failed	1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	104	202	258	200
w2	2	2	go	official-w2-cold	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	73	176	259	200
w2	2	2	go	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	89	196	277	200
w2	2	2	go	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	44	103	163	400
w2	2	2	go	near-saturation	800	3000	0		2	3	false	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	47	243	403	800
w2	2	2	go	overload	1000	3000	0		2	3	true	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	48	102	173	1000
w2	2	2	go	recovery	200	3000	0		1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	74	167	220	200
w2	3	1	go	official-w2-cold	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	71	217	378	200
w2	3	1	go	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	60	156	218	200
w2	3	1	go	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	54	119	193	400
w2	3	1	go	near-saturation	800	3000	0		2	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	38	91	137	800
w2	3	1	go	overload	1000	3000	0		2	3	true	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	53	108	168	1000
w2	3	1	go	recovery	200	3000	0		1	3	true	600	600	600	600	0	0	0	0	0	0	0	600	68	154	211	200
w2	3	2	rust	official-w2-cold	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	51	132	178	200
w2	3	2	rust	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	49	122	170	200
w2	3	2	rust	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	38	89	174	400
w2	3	2	rust	near-saturation	800	3000	0		2	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	49	93	131	800
w2	3	2	rust	overload	1000	3000	0		2	3	true	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	43	89	120	1000
w2	3	2	rust	recovery	200	3000	0		1	3	true	600	600	600	600	0	0	0	0	0	0	0	600	51	137	185	200
w3	1	1	go	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	230	429	576	200
w3	1	1	go	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	165	347	612	400
w3	1	1	go	near-saturation	800	3000	0		3	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	143	314	461	800
w3	1	1	go	overload	1000	3000	0		1	3	false	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	126	270	420	1000
w3	1	1	go	recovery	200	3000	0		1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	244	424	538	200
w3	1	2	rust	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	162	337	487	200
w3	1	2	rust	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	283	483	623	400
w3	1	2	rust	near-saturation	800	3000	1		3	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	226	439	696	800
w3	1	2	rust	overload	1000	3000	1	sender shortfall or scheduled query not sent	1	3	false	2999	2999	2999	2999	0	0	0	0	0	0	1	2999	126	265	481	999.6666666666666
w3	1	2	rust	recovery	200	3000	1	same-process recovery criteria failed	1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	158	372	590	200
w3	2	1	rust	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	213	398	571	200
w3	2	1	rust	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	143	307	464	400
w3	2	1	rust	near-saturation	800	3000	0		3	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	140	285	407	800
w3	2	1	rust	overload	1000	3000	0		1	3	true	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	157	292	439	1000
w3	2	1	rust	recovery	200	3000	0		1	3	true	600	600	600	600	0	0	0	0	0	0	0	600	188	377	535	200
w3	2	2	go	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	165	376	463	200
w3	2	2	go	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	208	405	608	400
w3	2	2	go	near-saturation	800	3000	0		3	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	152	305	451	800
w3	2	2	go	overload	1000	3000	0		1	3	true	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	129	274	421	1000
w3	2	2	go	recovery	200	3000	0		1	3	true	600	600	600	600	0	0	0	0	0	0	0	600	159	354	445	200
w3	3	1	go	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	166	393	525	200
w3	3	1	go	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	145	330	534	400
w3	3	1	go	near-saturation	800	3000	1		3	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	182	355	469	800
w3	3	1	go	overload	1000	3000	1	sender shortfall or scheduled query not sent	1	3	false	2999	2999	2999	2999	0	0	0	0	0	0	1	2999	179	345	530	999.6666666666666
w3	3	1	go	recovery	200	3000	1	same-process recovery criteria failed	1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	180	354	516	200
w3	3	2	rust	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	0	0	0	0	0	0	600	201	389	504	200
w3	3	2	rust	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	0	0	0	0	0	0	1200	152	313	448	400
w3	3	2	rust	near-saturation	800	3000	1		3	3	true	2400	2400	2400	2400	0	0	0	0	0	0	0	2400	141	281	407	800
w3	3	2	rust	overload	1000	3000	1		1	3	false	3000	3000	3000	3000	0	0	0	0	0	0	0	3000	120	274	542	1000
w3	3	2	rust	recovery	200	3000	1	same-process recovery criteria failed	1	3	false	600	600	600	600	0	0	0	0	0	0	0	600	226	439	648	200
