scenario	repetition	position	candidate	stage	role	pid	sample_count	sample_interval_s	cpu_ticks	user_system_cpu_ms	cpu_percent_one_core	cpu_resolution_percent_one_core	cpu_us_per_correct_on_time	cpu_resolution_us_per_correct_on_time	rss_median_kib	rss_peak_kib	fd_median	fd_peak	stage_invalid_reason	pair_valid
w1-tcp	1	1	go	recovery	load-generator	67549	4	3.002671	10	100.0	3.33	0.333			14470.0	14640	9.0	10	same-process recovery criteria failed	false
w1-tcp	1	1	go	recovery	sut	67384	4	3.00269	13	130.0	4.329	0.333	216.667	16.667	54596.0	54596	8.0	9	same-process recovery criteria failed	false
w1-tcp	1	2	rust	normal-reference	fixture-1	67691	4	3.002282	2	20.0	0.666	0.333			8802.0	8828	7.0	7		true
w1-tcp	1	2	rust	normal-reference	load-generator	67725	4	3.002452	6	60.0	1.998	0.333			9886.0	10968	9.0	9		true
w1-tcp	1	2	rust	normal-reference	sut	67714	4	3.002418	5	50.0	1.665	0.333	83.333	16.667	3144.0	3144	7.0	8		true
w1-tcp	1	2	rust	common-load	fixture-1	67691	4	3.002161	5	50.0	1.665	0.333			10906.0	10916	7.0	7		true
w1-tcp	1	2	rust	common-load	load-generator	67762	4	3.002402	13	130.0	4.33	0.333			13162.0	13448	9.0	10		true
w1-tcp	1	2	rust	common-load	sut	67714	4	3.002532	10	100.0	3.331	0.333	83.333	8.333	3144.0	3144	7.0	8		true
w1-tcp	1	2	rust	near-saturation	fixture-1	67691	4	3.00266	10	100.0	3.33	0.333			11966.0	13016	7.0	7		true
w1-tcp	1	2	rust	near-saturation	load-generator	67796	4	3.002508	23	230.0	7.66	0.333			13476.0	13736	9.5	10		true
w1-tcp	1	2	rust	near-saturation	sut	67714	4	3.002409	19	190.0	6.328	0.333	79.167	4.167	3148.0	3148	7.5	8		true
w1-tcp	1	2	rust	overload	fixture-1	67691	4	3.002721	14	140.0	4.662	0.333			13430.0	13440	7.0	7		true
w1-tcp	1	2	rust	overload	load-generator	67832	4	3.002707	29	290.0	9.658	0.333			14190.0	14264	11.0	11		true
w1-tcp	1	2	rust	overload	sut	67714	4	3.002803	25	250.0	8.326	0.333	83.333	3.333	3152.0	3152	8.0	8		true
w1-tcp	1	2	rust	recovery	fixture-1	67691	4	3.002284	3	30.0	0.999	0.333			13444.0	13444	7.0	7	same-process recovery criteria failed	false
w1-tcp	1	2	rust	recovery	load-generator	67865	4	3.002282	8	80.0	2.665	0.333			13956.0	15544	9.0	10	same-process recovery criteria failed	false
w1-tcp	1	2	rust	recovery	sut	67714	4	3.002432	5	50.0	1.665	0.333	83.333	16.667	3152.0	3152	7.0	8	same-process recovery criteria failed	false
w1-tcp	2	1	rust	normal-reference	fixture-1	67995	4	3.002139	3	30.0	0.999	0.333			10736.0	10764	7.0	7		true
w1-tcp	2	1	rust	normal-reference	load-generator	68030	4	3.002214	8	80.0	2.665	0.333			11928.0	13008	9.0	9		true
w1-tcp	2	1	rust	normal-reference	sut	68019	4	3.002226	5	50.0	1.665	0.333	83.333	16.667	3184.0	3184	7.0	8		true
w1-tcp	2	1	rust	common-load	fixture-1	67995	4	3.002253	7	70.0	2.332	0.333			10794.0	12852	7.0	7		true
w1-tcp	2	1	rust	common-load	load-generator	68066	4	3.002294	15	150.0	4.996	0.333			12240.0	13560	9.0	10		true
w1-tcp	2	1	rust	common-load	sut	68019	4	3.002125	12	120.0	3.997	0.333	100.0	8.333	3184.0	3184	7.0	8		true
w1-tcp	2	1	rust	near-saturation	fixture-1	67995	4	3.002012	11	110.0	3.664	0.333			12876.0	12900	7.0	7		true
w1-tcp	2	1	rust	near-saturation	load-generator	68099	4	3.002146	26	260.0	8.66	0.333			15606.0	15880	10.0	10		true
w1-tcp	2	1	rust	near-saturation	sut	68019	4	3.002532	20	200.0	6.661	0.333	83.333	4.167	3190.0	3192	7.0	8		true
w1-tcp	2	1	rust	overload	fixture-1	67995	4	3.002716	10	100.0	3.33	0.333			15378.0	15388	7.0	7		true
w1-tcp	2	1	rust	overload	load-generator	68134	4	3.002722	24	240.0	7.993	0.333			14158.0	14280	11.0	11		true
w1-tcp	2	1	rust	overload	sut	68019	4	3.002717	20	200.0	6.661	0.333	66.667	3.333	3192.0	3192	7.5	8		true
w1-tcp	2	1	rust	recovery	fixture-1	67995	4	3.00276	4	40.0	1.332	0.333			15400.0	15400	7.0	7	same-process recovery criteria failed	false
w1-tcp	2	1	rust	recovery	load-generator	68167	4	3.002625	8	80.0	2.664	0.333			14922.0	15288	9.0	10	same-process recovery criteria failed	false
w1-tcp	2	1	rust	recovery	sut	68019	4	3.00257	6	60.0	1.998	0.333	100.0	16.667	3192.0	3192	7.0	8	same-process recovery criteria failed	false
w1-tcp	2	2	go	normal-reference	fixture-1	68296	4	3.002711	4	40.0	1.332	0.333			10772.0	10812	7.0	7		true
w1-tcp	2	2	go	normal-reference	load-generator	68343	4	3.002582	9	90.0	2.997	0.333			12004.0	13084	9.0	9		true
w1-tcp	2	2	go	normal-reference	sut	68320	4	3.002582	12	120.0	3.997	0.333	200.0	16.667	33884.0	34968	8.0	9		true
w1-tcp	2	2	go	common-load	fixture-1	68296	4	3.002112	8	80.0	2.665	0.333			10842.0	12900	7.0	7		true
w1-tcp	2	2	go	common-load	load-generator	68381	4	3.002023	19	190.0	6.329	0.333			12232.0	13552	10.0	10		true
w1-tcp	2	2	go	common-load	sut	68320	4	3.0021	25	250.0	8.328	0.333	208.333	8.333	40176.0	43336	9.0	9		true
w1-tcp	2	2	go	near-saturation	fixture-1	68296	4	3.002749	14	140.0	4.662	0.333			12928.0	15388	7.0	7		true
w1-tcp	2	2	go	near-saturation	load-generator	68417	4	3.002571	29	290.0	9.658	0.333			14672.0	15904	10.0	11		true
w1-tcp	2	2	go	near-saturation	sut	68320	4	3.002553	41	410.0	13.655	0.333	170.833	4.167	49670.0	56692	9.0	9		true
w1-tcp	2	2	go	overload	fixture-1	68296	4	3.002927	14	140.0	4.662	0.333			15430.0	15440	7.0	7		true
w1-tcp	2	2	go	overload	load-generator	68453	4	3.002922	28	280.0	9.324	0.333			14138.0	14200	9.5	11		true
w1-tcp	2	2	go	overload	sut	68320	4	3.00306	41	410.0	13.653	0.333	136.667	3.333	56720.0	56744	8.0	8		true
w1-tcp	2	2	go	recovery	fixture-1	68296	4	3.003267	4	40.0	1.332	0.333			15440.0	15440	7.0	7	same-process recovery criteria failed	false
w1-tcp	2	2	go	recovery	load-generator	68490	4	3.003218	10	100.0	3.33	0.333			16664.0	16728	9.0	10	same-process recovery criteria failed	false
w1-tcp	2	2	go	recovery	sut	68320	4	3.003291	13	130.0	4.329	0.333	216.667	16.667	56748.0	56752	8.0	9	same-process recovery criteria failed	false
w1-tcp	3	1	go	normal-reference	fixture-1	68624	4	3.00315	4	40.0	1.332	0.333			8724.0	10816	7.0	7		true
w1-tcp	3	1	go	normal-reference	load-generator	68672	4	3.003133	7	70.0	2.331	0.333			10840.0	10892	9.0	10		true
w1-tcp	3	1	go	normal-reference	sut	68648	4	3.002985	10	100.0	3.33	0.333	166.667	16.667	33752.0	34828	8.0	9		true
