scenario	repetition	position	candidate	stage	role	pid	sample_count	sample_interval_s	cpu_ticks	user_system_cpu_ms	cpu_percent_one_core	cpu_resolution_percent_one_core	cpu_us_per_correct_on_time	cpu_resolution_us_per_correct_on_time	rss_median_kib	rss_peak_kib	fd_median	fd_peak	stage_invalid_reason	pair_valid
w3	3	2	rust	normal-reference	fixture-3	73790	4	3.003785	1	10.0	0.333	0.333			10778.0	12864	7.0	7		true
w3	3	2	rust	normal-reference	load-generator	73849	4	3.003582	5	50.0	1.665	0.333			15798.0	15884	9.0	9		true
w3	3	2	rust	normal-reference	sut	73836	4	3.003572	3	30.0	0.999	0.333	50.0	16.667	3124.0	3124	7.0	8		true
w3	3	2	rust	common-load	fixture-1	73787	4	3.002908	4	40.0	1.332	0.333			13404.0	13684	7.0	7		true
w3	3	2	rust	common-load	fixture-2	73788	4	3.002917	4	40.0	1.332	0.333			15410.0	15700	7.0	7		true
w3	3	2	rust	common-load	fixture-3	73790	4	3.002762	2	20.0	0.666	0.333			12890.0	15372	7.0	7		true
w3	3	2	rust	common-load	load-generator	73891	4	3.002867	8	80.0	2.664	0.333			13800.0	13824	9.5	10		true
w3	3	2	rust	common-load	sut	73836	4	3.002852	6	60.0	1.998	0.333	50.0	8.333	3124.0	3124	7.0	7		true
w3	3	2	rust	near-saturation	fixture-1	73787	4	3.003583	6	60.0	1.998	0.333			13808.0	13880	7.0	7		true
w3	3	2	rust	near-saturation	fixture-2	73788	4	3.003582	7	70.0	2.331	0.333			15830.0	15856	7.0	7		true
w3	3	2	rust	near-saturation	fixture-3	73790	4	3.003329	2	20.0	0.666	0.333			15552.0	15716	7.0	7		true
w3	3	2	rust	near-saturation	load-generator	73934	4	3.003668	16	160.0	5.327	0.333			15780.0	15804	9.5	10		true
w3	3	2	rust	near-saturation	sut	73836	4	3.003845	11	110.0	3.662	0.333	45.833	4.167	3192.0	3192	7.0	7		true
w3	3	2	rust	overload	fixture-1	73787	4	3.002781	7	70.0	2.331	0.333			13888.0	13888	7.0	7		false
w3	3	2	rust	overload	fixture-2	73788	4	3.002679	7	70.0	2.331	0.333			15908.0	15908	7.0	7		false
w3	3	2	rust	overload	fixture-3	73790	4	3.002696	3	30.0	0.999	0.333			15800.0	15848	7.0	7		false
w3	3	2	rust	overload	load-generator	73975	4	3.002906	19	190.0	6.327	0.333			14374.0	14532	10.0	10		false
w3	3	2	rust	overload	sut	73836	4	3.003084	11	110.0	3.663	0.333	36.667	3.333	3192.0	3192	7.0	7		false
w3	3	2	rust	recovery	fixture-1	73787	4	3.003519	3	30.0	0.999	0.333			13890.0	13892	7.0	7	same-process recovery criteria failed	false
w3	3	2	rust	recovery	fixture-2	73788	4	3.003466	3	30.0	0.999	0.333			15908.0	15908	7.0	7	same-process recovery criteria failed	false
w3	3	2	rust	recovery	fixture-3	73790	4	3.003494	1	10.0	0.333	0.333			15848.0	15848	7.0	7	same-process recovery criteria failed	false
w3	3	2	rust	recovery	load-generator	74016	4	3.003525	7	70.0	2.331	0.333			13136.0	14216	9.0	10	same-process recovery criteria failed	false
w3	3	2	rust	recovery	sut	73836	4	3.003596	5	50.0	1.665	0.333	83.333	16.667	3192.0	3192	7.0	8	same-process recovery criteria failed	false
