scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w2	warm	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3148.0000,3288.0000,3152.0000	3340.0000,3352.0000,3316.0000	6.0991,1.9465,5.2030	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p95_us	3	336.0000,254.0000,282.0000	256.0000,256.0000,286.0000	-23.8095,0.7874,1.4184	0.0993	19.86%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	p99_us	3	1212.0000,484.0000,429.0000	403.0000,383.0000,455.0000	-66.7492,-20.8678,6.0606	0.1136	22.73%	0		no repeatable regression under frozen guard
w2	warm	400	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,41.6667,41.6667	41.6667,41.6667,50.0000	-16.6667,0.0000,20.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	warm	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3340.0000,3352.0000,3316.0000	4272.0000,4404.0000,4392.0000	27.9042,31.3842,32.4487	0.0036	32768 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p95_us	3	712.0000,855.0000,823.0000	901.0000,795.0000,690.0000	26.5449,-7.0175,-16.1604	0.0389	10.00%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	p99_us	3	909.0000,1345.0000,1116.0000	1702.0000,1123.0000,924.0000	87.2387,-16.5056,-17.2043	0.1855	37.10%	1		no repeatable regression under frozen guard
w3	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,116.6667,116.6667	133.3333,116.6667,100.0000	33.3333,0.0000,-14.2857	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3192.0000,3148.0000,3268.0000	3308.0000,3252.0000,3344.0000	3.6341,3.3037,2.3256	0.0138	8192 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p95_us	3	901.0000,795.0000,690.0000	792.0000,695.0000,667.0000	-12.0977,-12.5786,-3.3333	0.1321	26.42%	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p99_us	3	1702.0000,1123.0000,924.0000	1241.0000,1012.0000,1099.0000	-27.0858,-9.8842,18.9394	0.1772	35.44%	0		no repeatable regression under frozen guard
