scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w3	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3276.0000,3244.0000,3304.0000	3264.0000,3416.0000,3360.0000	-0.3663,5.3021,1.6949	0.0085	8192 KiB	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p95_us	3	1130.0000,1839.0000,2361.0000	439.0000,1541.0000,2031.0000	-61.1504,-16.2045,-13.9771	0.2838	56.77%	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	p99_us	3	2173.0000,3768.0000,4806.0000	619.0000,3103.0000,4012.0000	-71.5140,-17.6486,-16.5210	0.2755	55.10%	0		no repeatable regression under frozen guard
w3	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	116.6667,166.6667,183.3333	50.0000,150.0000,183.3333	-57.1429,-10.0000,0.0000	0.1000	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3264.0000,3416.0000,3360.0000	3652.0000,3672.0000,3788.0000	11.8873,7.4941,12.7381	0.0167	32768 KiB	0		no repeatable regression under frozen guard
w3	main	400	after_off_vs_before_off	p95_us	2	354.0000,1488.0000	518.0000,1044.0000	46.3277,-29.8387	0.6156	123.13%	0		inconclusive: fewer than 3 valid pairs
w3	main	400	after_off_vs_before_off	p99_us	2	506.0000,2830.0000	762.0000,2154.0000	50.5929,-23.8869	0.6966	139.33%	0		inconclusive: fewer than 3 valid pairs
w3	main	400	after_off_vs_before_off	cpu_us_per_correct_query	2	50.0000,158.3333	91.6667,150.0000	83.3333,-5.2632	0.5200	104.00%	0	1	inconclusive: fewer than 3 valid pairs
w3	main	400	after_off_vs_before_off	rss_peak_kib_sampled	2	3276.0000,3244.0000	3328.0000,3416.0000	1.5873,5.3021	0.0049	8192 KiB	0		inconclusive: fewer than 3 valid pairs
w3	main	400	after_on_vs_after_off	p95_us	3	518.0000,1044.0000,1447.0000	450.0000,1686.0000,1498.0000	-13.1274,61.4943,3.5245	0.3860	77.20%	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	p99_us	3	762.0000,2154.0000,3091.0000	910.0000,3821.0000,2944.0000	19.4226,77.3909,-4.7557	0.4350	87.00%	0		no repeatable regression under frozen guard
w3	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	91.6667,150.0000,166.6667	75.0000,158.3333,166.6667	-18.1818,5.5556,0.0000	0.1111	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w3	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3328.0000,3416.0000,3364.0000	5112.0000,5232.0000,5280.0000	53.6058,53.1616,56.9560	0.0107	32768 KiB	0		no repeatable regression under frozen guard
